user_id,title_id,watch_time_minutes,rating,watch_date
7279,366,122.3,5.0,2024-12-24
34,332,110.0,2.0,2024-12-31
2421,953,37.1,,2023-11-21
4139,1173,60.9,,2024-12-12
5502,1500,58.6,4.0,2024-11-08
8636,1139,54.6,,2024-10-15
2135,1403,37.8,,2023-06-13
4860,1962,86.0,,2024-09-30
1283,196,156.1,4.0,2024-12-01
9389,867,88.9,3.0,2024-04-27
3140,1426,76.1,,2024-11-23
1374,149,168.5,,2024-12-19
9861,1749,84.1,,2024-11-07
8768,1795,25.5,4.0,2024-12-20
3978,812,57.8,4.0,2024-10-31
4045,220,132.8,,2024-12-31
3687,1144,73.6,1.0,2024-11-06
5433,1059,143.4,4.0,2024-07-30
435,842,178.2,,2024-12-26
8720,435,36.4,3.0,2024-12-12
48,1930,109.5,,2024-12-29
9981,1794,54.9,,2024-11-25
4734,696,44.3,,2024-12-25
7454,8,175.8,3.0,2024-09-10
1396,1424,55.0,4.0,2024-12-30
1765,1694,101.9,,2024-09-22
3073,1188,110.4,5.0,2024-12-30
9393,1431,79.0,,2024-03-17
5495,1378,93.8,1.0,2024-12-25
2775,1828,105.9,,2024-09-22
1470,106,83.4,,2024-12-24
5070,612,95.5,1.0,2024-12-21
4896,1932,101.0,,2024-10-28
3796,1680,105.8,,2024-12-13
258,797,94.8,,2024-12-26
6507,1245,31.7,1.0,2024-12-25
7773,1919,96.0,,2024-12-06
6584,1337,31.8,1.0,2024-12-10
5034,731,109.2,1.0,2024-12-30
2076,1387,102.3,3.0,2024-08-22
7133,1614,53.5,4.0,2024-12-07
159,330,58.8,,2024-10-18
7315,495,47.9,3.0,2023-05-04
7843,1666,71.0,,2024-12-11
1276,39,174.0,,2024-12-24
2720,358,101.4,,2024-12-27
9249,1986,89.8,,2024-12-12
9866,1804,87.8,3.0,2024-05-01
5050,131,94.1,4.0,2024-12-28
3808,277,101.1,,2024-12-21
599,65,142.6,,2023-12-26
5475,1288,157.4,,2024-10-17
5500,1527,89.4,4.0,2024-11-30
3903,1911,70.6,,2024-12-29
6648,1557,52.1,2.0,2024-12-28
1928,1156,45.5,5.0,2024-10-14
3144,560,64.6,3.0,2024-10-05
8880,1356,25.3,5.0,2024-12-26
9320,1684,88.9,,2023-02-12
9353,1878,86.0,4.0,2023-10-20
9424,1484,165.4,2.0,2024-12-26
6965,1570,70.0,,2024-12-14
2538,159,107.8,,2024-12-18
2111,439,33.7,1.0,2024-11-21
2625,685,81.4,,2024-11-14
2823,1702,79.0,,2024-12-29
8012,587,37.0,,2024-07-20
935,1263,113.4,,2024-11-20
8079,1525,149.2,3.0,2024-12-15
5502,1695,48.7,3.0,2024-12-13
2571,1767,66.0,,2024-11-30
1635,1275,97.8,5.0,2024-11-06
6678,172,104.3,,2024-12-22
3961,1270,92.6,5.0,2024-12-25
5845,1845,102.1,,2024-12-29
9716,1962,66.2,3.0,2024-12-29
4158,1461,71.9,,2024-12-09
1613,54,87.9,,2024-12-25
7616,1303,83.1,,2024-12-05
8104,18,116.7,,2024-11-12
231,702,129.4,,2024-12-29
3330,1008,67.6,,2024-12-29
2791,455,80.9,,2024-12-29
315,1939,179.3,,2024-11-22
1893,376,153.2,4.0,2024-12-25
3706,671,64.9,,2024-11-20
7997,419,35.7,5.0,2024-11-29
1066,1134,57.3,5.0,2024-11-27
819,1761,78.7,,2024-12-17
7897,1309,94.6,,2024-12-25
8758,1675,68.1,,2024-12-24
7045,1279,102.9,,2024-12-14
9183,1553,113.7,4.0,2024-11-03
1788,1234,151.6,1.0,2024-12-15
5503,1071,51.0,3.0,2024-12-22
2866,1679,84.6,4.0,2024-09-17
5087,1698,95.5,4.0,2024-12-13
8465,991,121.9,,2024-12-09
5538,1550,61.9,,2024-12-07
3176,1268,71.7,,2024-10-28
4247,558,54.5,3.0,2024-06-25
2809,1956,174.3,,2024-12-12
5929,555,57.8,2.0,2023-10-23
7949,86,160.2,3.0,2024-11-06
382,1583,144.3,3.0,2024-12-13
651,888,44.0,,2024-12-02
7133,929,97.2,,2024-12-10
8615,465,92.8,,2024-10-22
3109,1343,70.1,3.0,2024-12-22
3582,640,46.9,,2024-12-16
3161,68,160.4,,2024-07-05
8876,1964,67.5,5.0,2024-12-14
3670,110,35.7,5.0,2024-11-11
8577,1389,36.3,,2024-12-27
2320,1065,94.1,,2024-12-30
1394,1333,180.0,,2024-10-09
8352,1985,119.4,2.0,2024-11-18
2101,430,57.0,3.0,2024-10-15
3890,703,28.9,,2024-12-31
8067,1775,44.1,,2023-04-19
4095,811,89.4,,2024-12-31
642,1754,81.9,1.0,2024-12-21
2325,742,95.4,,2024-12-17
2454,472,101.0,,2024-01-21
537,1270,50.1,,2024-07-08
4496,2,99.5,,2024-12-17
3525,383,77.1,,2024-12-07
9304,354,110.8,2.0,2024-12-27
3652,820,80.2,4.0,2024-09-30
5762,678,55.3,,2024-11-09
5637,1956,58.8,,2024-12-30
788,418,87.9,2.0,2024-09-06
7714,1451,115.6,,2024-11-23
4965,358,160.1,,2024-09-10
1954,1400,116.2,,2024-12-02
7593,1178,120.7,5.0,2024-12-13
8038,1999,71.1,2.0,2024-12-01
4986,1424,33.3,2.0,2024-12-31
2895,1037,40.9,4.0,2024-07-30
7012,1707,72.3,,2024-11-02
809,1665,59.1,,2024-12-24
9372,1154,67.2,,2024-12-08
8283,180,180.0,,2024-12-09
5135,1994,83.1,,2024-12-03
2281,1118,72.7,,2024-12-25
4493,1676,101.9,4.0,2023-12-23
4454,1656,45.3,5.0,2024-12-15
879,645,54.7,1.0,2024-12-14
7920,1670,73.3,,2024-11-05
9118,27,76.5,5.0,2024-10-25
3726,757,7.8,2.0,2024-12-02
4448,1740,72.0,,2024-12-31
3423,944,65.9,,2024-12-25
848,563,92.3,,2024-11-28
511,503,42.1,,2024-12-15
2854,1287,110.5,,2024-12-11
2164,1158,116.3,,2024-12-23
9320,601,80.6,,2024-10-08
9185,626,67.7,,2024-12-31
8682,1839,120.3,3.0,2024-11-29
7916,1316,76.9,,2024-12-19
9854,642,15.4,,2024-09-27
3340,1149,111.1,4.0,2024-11-07
1962,28,97.3,5.0,2024-12-21
5844,77,180.0,,2024-12-05
5351,175,89.3,,2024-12-02
314,530,51.8,,2024-09-10
185,1626,120.0,4.0,2024-12-09
5896,1022,87.8,,2024-12-01
1073,1212,80.4,4.0,2024-11-16
4568,1193,108.1,,2024-11-18
2158,709,136.9,,2024-12-31
9513,1631,65.7,4.0,2024-12-23
2874,270,135.6,,2024-12-23
2682,1453,73.6,,2024-12-21
2513,1660,86.4,3.0,2024-12-26
2045,11,127.7,,2024-12-08
9775,1959,93.3,,2024-10-28
6515,1434,134.0,,2024-12-10
6172,1364,126.9,,2024-11-10
5410,1567,140.2,,2024-11-30
2449,226,152.7,,2024-12-05
5258,594,76.0,,2024-12-22
4576,125,111.4,,2024-05-28
7955,1336,103.2,,2024-12-09
7481,257,148.1,5.0,2024-12-01
2120,1895,65.5,,2024-12-30
1901,600,30.3,,2024-10-27
8041,1684,118.2,1.0,2024-12-15
3196,1443,99.8,,2024-12-30
7064,713,59.4,,2024-12-13
488,289,109.2,,2024-10-08
3191,949,56.3,3.0,2024-12-29
8248,703,88.3,5.0,2024-12-31
4743,439,109.0,,2024-12-31
1573,715,77.8,4.0,2024-12-16
630,1357,48.6,,2024-12-08
5591,822,68.6,,2024-12-12
8238,777,13.7,,2024-11-21
128,1494,83.9,,2024-12-27
7262,375,142.4,,2024-12-30
6538,1598,110.3,3.0,2024-06-06
5292,66,108.1,,2024-12-19
9007,1487,110.7,3.0,2024-12-04
4225,1298,103.3,3.0,2024-10-09
8139,1761,48.9,2.0,2024-12-30
154,974,49.8,,2024-12-01
4215,62,48.3,,2024-06-09
4374,1826,72.9,,2024-12-28
6034,1516,38.8,,2024-11-25
6525,478,168.3,,2024-12-01
9454,1033,103.7,2.0,2023-08-04
361,521,75.0,,2023-12-14
9269,888,126.2,3.0,2024-12-12
3756,1075,57.2,,2024-09-01
684,191,74.7,,2024-08-30
2459,613,109.7,,2024-12-25
3858,810,111.1,,2024-11-20
5802,144,152.6,5.0,2024-10-28
4698,319,70.4,4.0,2024-12-21
5182,234,156.4,2.0,2024-12-14
7959,1185,105.9,5.0,2024-12-05
4493,412,93.5,,2023-12-12
9217,1784,57.6,,2024-10-24
8826,935,70.2,,2024-11-19
2167,65,16.1,2.0,2024-11-08
9382,210,88.3,,2024-12-31
8303,1953,75.9,,2024-12-25
7402,193,110.7,4.0,2024-12-15
4494,1371,149.9,,2024-12-24
1166,866,57.2,3.0,2024-10-27
5440,1974,87.0,3.0,2024-12-11
476,943,43.0,,2024-12-06
4361,1550,64.6,,2024-12-16
8800,1139,43.9,,2024-11-01
1684,1665,100.1,1.0,2024-11-14
9241,268,114.3,3.0,2024-12-01
5515,819,97.6,,2024-06-08
545,546,78.4,,2024-12-02
7848,1910,22.2,,2024-12-29
6289,765,60.2,,2024-11-16
8377,918,45.3,,2024-12-24
3943,1771,84.0,2.0,2024-12-18
555,1545,30.2,,2024-12-03
5038,1742,47.9,,2024-12-01
7091,362,64.1,,2024-11-22
5338,731,95.7,3.0,2024-10-10
477,961,137.4,5.0,2024-12-27
900,1691,65.6,,2024-11-05
4314,1287,46.3,3.0,2024-12-02
6377,843,60.0,,2024-12-12
8099,1035,70.0,,2023-10-17
456,1880,100.1,,2024-06-16
6929,1869,41.2,3.0,2024-12-25
6245,1205,67.2,2.0,2024-10-06
747,384,98.5,,2024-11-15
3056,1828,159.7,4.0,2024-12-09
4384,1207,79.0,,2024-08-27
2697,753,95.6,,2024-12-06
9487,608,13.8,,2024-02-08
9655,1232,42.3,5.0,2024-09-14
3267,1486,109.4,4.0,2024-11-09
6467,1886,5.0,,2024-12-15
5693,1296,81.3,3.0,2024-12-22
7744,1605,108.4,,2024-12-24
8342,1081,71.7,,2024-09-17
7529,1176,84.7,,2024-10-01
8938,1642,76.6,,2024-12-11
8900,1303,51.4,,2024-12-28
2249,1119,79.4,1.0,2024-10-23
4369,1843,85.9,,2024-11-29
1016,1166,89.2,,2024-12-12
711,1528,65.6,,2024-12-06
9403,1561,102.9,,2024-12-21
9071,537,63.9,,2024-12-22
3786,1289,120.5,,2024-12-28
345,1188,85.2,,2024-10-29
3628,252,56.7,,2024-12-17
685,477,84.7,,2024-08-28
5073,717,42.2,,2024-12-26
7761,389,68.0,,2024-09-26
7477,684,93.8,,2024-10-29
9339,987,107.2,3.0,2024-11-21
9777,1559,41.4,4.0,2024-04-22
9511,783,113.3,,2024-04-26
6707,1970,69.0,4.0,2024-05-07
9839,461,66.0,,2024-12-07
5118,1397,34.4,,2024-12-13
8332,1343,68.1,2.0,2024-12-16
4512,913,109.7,,2024-07-15
636,1310,116.7,,2024-12-26
2556,401,116.8,,2024-12-08
4176,1899,78.4,,2024-12-25
8711,1658,7.5,5.0,2024-10-08
3054,1232,85.5,,2024-11-23
8767,784,22.0,,2023-02-01
2661,1601,43.9,2.0,2024-12-10
2882,1255,52.4,2.0,2024-12-14
5789,1095,98.8,,2024-12-01
3612,1855,135.3,,2024-12-01
2548,1886,47.1,,2024-10-25
9740,375,66.5,,2024-07-18
4493,977,111.1,1.0,2024-08-30
6313,209,177.7,5.0,2024-12-19
9690,482,45.0,,2024-02-28
5958,1834,79.7,,2024-12-19
5330,1640,74.3,3.0,2024-11-20
8881,885,68.9,,2024-12-24
1848,972,74.2,,2024-12-15
2915,409,114.7,1.0,2024-11-18
6103,1701,42.3,,2024-12-20
6452,792,89.1,,2024-12-27
9046,1294,24.0,4.0,2024-09-25
9394,936,96.3,5.0,2024-11-19
5392,757,68.1,,2024-12-09
5842,355,84.4,2.0,2024-10-01
7995,1951,153.8,,2024-12-24
2742,1055,103.9,,2024-11-01
6690,170,134.4,,2024-12-18
6460,124,54.2,,2024-10-20
3174,10,39.5,4.0,2024-12-27
2405,140,180.0,,2024-12-08
5311,448,94.3,1.0,2024-12-07
5616,1389,58.4,,2024-12-01
7546,359,90.2,,2024-10-22
6502,1186,37.7,4.0,2024-12-13
7616,749,95.8,,2024-12-29
899,158,180.0,,2024-11-24
6114,1540,69.3,,2024-12-21
4225,1004,46.1,,2024-12-23
6528,62,81.5,,2024-12-06
6316,512,128.4,,2024-09-01
1377,1811,126.2,,2024-12-21
6673,1634,76.7,4.0,2024-12-21
9478,1539,64.5,,2024-10-15
2372,484,113.6,3.0,2024-09-22
9989,1670,98.2,,2024-12-22
8794,63,111.8,4.0,2024-07-06
3924,661,79.9,2.0,2024-12-29
922,742,70.4,,2024-12-01
752,570,118.1,,2024-10-26
7546,1070,76.8,,2024-12-04
7474,1872,152.5,,2024-12-05
6606,1322,58.6,,2024-09-10
5522,276,89.2,,2024-07-10
4476,247,149.9,,2024-12-03
4462,215,10.2,,2024-11-13
5843,633,39.6,3.0,2024-10-12
5295,258,87.1,,2024-03-11
5194,1537,63.0,,2024-12-14
7044,1201,62.0,3.0,2024-10-12
2747,1981,113.4,,2024-12-19
7921,278,159.5,,2024-12-20
6018,1920,35.7,,2024-12-27
9739,691,37.8,,2024-12-23
919,1779,78.9,,2024-12-15
8369,202,157.1,2.0,2024-12-29
3787,1967,65.2,,2024-12-20
9631,1452,115.1,,2024-12-14
4153,1678,70.2,,2024-12-05
3185,364,40.0,2.0,2024-12-27
9558,571,67.8,4.0,2024-12-22
7872,1669,74.3,,2024-09-04
185,784,90.5,,2024-11-18
7158,118,107.2,,2024-12-04
9184,1116,111.6,,2024-12-03
7069,383,41.7,,2024-12-23
4259,1922,43.3,,2024-12-19
1715,636,61.5,,2024-10-09
2650,659,64.7,,2024-12-23
1895,1357,72.2,,2024-06-01
3877,722,154.7,3.0,2024-11-21
8812,806,70.9,2.0,2024-12-28
6305,540,60.1,4.0,2024-11-29
310,1899,105.2,,2024-12-23
9576,1166,41.9,,2024-11-05
5556,357,72.6,,2024-12-09
1775,467,29.7,4.0,2024-11-14
7099,87,92.2,,2024-12-07
7916,225,124.0,,2024-12-10
6700,1467,36.7,4.0,2024-11-27
1748,1633,22.7,,2024-12-26
9621,1770,92.3,,2024-10-27
1450,820,95.4,4.0,2024-12-20
9320,716,76.0,4.0,2024-12-25
7165,1228,78.4,,2024-11-23
9592,1797,5.8,4.0,2024-10-13
8956,1752,30.4,,2024-09-21
3987,530,113.4,,2024-12-13
7685,334,78.5,2.0,2024-10-10
3394,883,32.2,,2024-12-13
4894,135,117.0,,2024-10-25
556,1658,73.8,,2024-12-31
1182,629,41.9,4.0,2024-12-29
9135,267,132.8,,2024-12-22
2120,196,83.3,,2024-12-04
9091,305,45.3,,2024-12-22
124,1145,57.8,,2024-11-26
3728,1000,12.8,3.0,2024-07-02
6718,1210,100.7,,2024-12-29
7721,1030,93.1,,2024-12-30
9014,994,68.8,,2024-01-06
2606,1508,28.7,4.0,2024-12-12
6798,1538,47.5,,2024-11-05
1463,178,143.6,4.0,2024-12-07
3573,1195,64.0,,2024-12-22
1222,223,118.3,,2024-11-08
1019,1209,75.4,,2024-12-04
5784,885,91.7,5.0,2024-11-28
4822,960,147.7,,2024-12-08
5314,260,180.0,2.0,2024-12-25
818,1803,102.7,,2024-11-12
8476,1432,114.5,,2024-11-08
1011,1602,90.1,,2024-12-21
8219,1931,84.5,3.0,2024-12-27
1944,1274,86.1,,2024-10-27
880,1952,44.0,,2024-12-30
4066,886,141.6,3.0,2024-12-15
9499,324,100.2,4.0,2024-12-25
5686,1508,98.8,,2024-12-13
8081,435,51.7,,2024-12-13
9393,1570,70.9,5.0,2023-03-05
9742,1955,163.4,4.0,2024-11-01
9876,174,54.1,4.0,2024-12-30
6725,482,110.8,,2024-12-25
8554,1452,123.9,,2024-12-02
2745,1252,41.1,5.0,2024-12-29
54,346,154.9,,2024-11-25
9008,1641,43.0,2.0,2024-12-28
4793,326,161.6,,2024-12-25
5771,1018,44.7,,2024-12-11
6244,1077,48.8,,2024-11-21
5529,1443,92.9,,2024-12-02
8009,378,110.4,,2024-11-21
1908,501,5.0,2.0,2024-12-18
9216,85,42.5,2.0,2024-12-28
9955,1411,56.2,4.0,2024-10-27
3170,254,76.1,,2024-08-17
4560,1829,42.9,,2024-12-29
952,401,66.3,,2024-11-01
5394,1557,180.0,3.0,2024-12-01
6351,700,125.8,2.0,2024-06-05
4913,805,127.5,1.0,2024-12-21
7521,550,127.6,,2024-12-23
2424,1084,83.9,,2024-12-26
2739,357,118.2,,2024-11-16
8095,573,16.1,,2024-12-03
2639,681,85.2,4.0,2024-10-30
7578,496,47.1,5.0,2024-12-25
9179,1216,128.7,,2024-12-03
9685,1702,37.5,,2024-11-18
3363,1386,158.7,,2024-12-18
4928,1412,102.5,,2024-12-27
808,492,84.3,,2024-11-11
7601,824,29.8,5.0,2024-12-03
524,651,97.0,,2024-12-16
8772,508,50.5,,2024-12-25
9596,305,76.9,,2024-12-18
1679,1800,5.0,,2024-12-21
4146,443,122.9,,2024-10-21
2700,229,169.0,,2024-12-11
6534,497,22.8,,2024-08-26
5877,1218,53.7,2.0,2024-12-05
3644,1630,69.6,,2024-11-30
8253,1378,49.6,4.0,2024-11-21
7358,1502,151.2,,2024-11-02
7521,1891,104.8,,2024-11-19
7447,19,136.5,3.0,2024-12-06
2899,1178,33.0,,2024-12-24
8016,1322,50.7,,2024-10-29
6645,674,58.8,,2024-10-03
7747,1190,69.3,3.0,2024-12-18
6449,1418,62.0,,2024-11-27
5871,743,39.7,,2024-12-08
5336,1424,34.7,3.0,2024-12-08
9976,1578,55.4,,2024-08-09
6061,557,49.2,,2024-04-11
8234,1091,66.5,,2024-12-05
2952,1963,41.4,4.0,2024-04-18
7911,502,122.3,,2024-09-29
3102,43,79.7,4.0,2024-10-17
4951,1010,92.3,,2024-11-16
5948,1379,79.0,,2024-11-15
9897,293,73.9,,2024-12-14
8317,1635,106.1,,2024-07-07
7310,834,84.9,,2024-12-20
6103,1449,10.5,,2024-11-14
4890,404,68.0,,2024-12-13
5221,1711,97.3,5.0,2024-10-30
1971,1900,90.6,,2024-12-07
457,834,86.4,,2024-11-29
849,970,64.2,4.0,2024-12-05
4864,1679,72.1,,2024-02-16
2164,248,87.3,,2024-12-29
8139,610,42.8,1.0,2024-12-06
8507,490,94.2,1.0,2024-12-23
9986,1428,84.7,,2024-12-31
2976,1381,49.7,,2024-12-27
3898,114,49.0,,2024-12-23
7266,1626,94.3,,2024-12-01
1385,1086,68.8,2.0,2024-11-07
6634,1428,33.1,,2024-09-24
5269,1502,73.0,,2024-08-15
3710,1841,100.0,,2024-12-10
6228,1999,89.2,3.0,2024-12-20
6616,1524,37.6,5.0,2024-12-15
57,1843,133.4,2.0,2024-12-05
438,12,168.1,,2024-12-22
2870,1317,66.3,,2024-12-22
7310,1382,97.5,3.0,2024-12-01
549,475,70.2,,2024-12-21
2089,1791,74.7,,2024-12-16
3485,1217,71.6,,2024-04-25
8302,1746,68.6,,2024-12-11
8149,1011,56.5,2.0,2024-12-07
1864,188,87.5,1.0,2024-12-22
9836,404,47.2,4.0,2024-12-25
520,1708,71.7,,2024-12-04
8047,1257,110.0,,2024-12-20
6102,1110,82.2,,2024-12-12
6661,1062,105.7,,2024-06-21
2110,280,86.4,,2024-12-15
7139,1132,66.4,,2024-12-22
7041,1820,31.9,,2024-12-20
612,610,87.2,,2024-12-15
9526,168,104.3,,2024-12-15
5919,960,134.3,,2024-12-25
383,1483,109.7,,2024-12-09
136,1863,56.4,4.0,2024-06-04
