user_id,age,gender,country,subscription_plan,device_type,churn,avg_watch_time,sessions_per_week,preferred_genre,rating_behavior,join_date,last_active_date,cluster,monthly_revenue,months_active,ltv,watch_time_minutes,total_watch_time,engagement_multiplier,ltv_adjusted
12,42,M,USA,basic,tablet,0,103.8,3,Drama,rare,2020-12-23,2024-12-29,2,9.99,48.9,488.511,982.0,982.0,1.592208418767338,777.8113268604511
13,40,F,Spain,standard,tv,0,28.3,5,Sci-Fi,rare,2020-11-07,2024-12-25,3,14.99,50.3,753.997,448.6,448.6,1.270534314316729,957.9790613918706
14,38,M,Canada,standard,mobile,0,109.5,4,Thriller,frequent,2022-05-22,2024-12-28,1,14.99,31.7,475.183,788.5,788.5,1.475515619346279,701.1399385478229
15,37,F,Brazil,basic,tv,0,35.7,4,Romance,frequent,2020-03-19,2024-12-25,3,9.99,58.06666666666667,580.086,719.1,719.1,1.4336630080810517,831.647839705705
16,38,F,Japan,standard,mobile,0,91.5,4,Action,rare,2020-12-10,2024-12-27,2,14.99,49.266666666666666,738.5073333333333,2152.4,2152.4,2.2980340127849477,1697.114970691111
17,18,F,Italy,basic,laptop,0,55.1,4,Action,frequent,2020-11-17,2024-12-28,3,9.99,50.06666666666667,500.16600000000005,933.9,933.9,1.5632010613918705,781.8600220721264
18,43,F,Japan,basic,tv,0,61.8,5,Horror,rare,2020-06-26,2024-12-30,2,9.99,54.93333333333333,548.784,1000.6,1000.6,1.6034254010372693,879.9342052828367
19,38,F,Mexico,basic,mobile,0,65.1,3,Thriller,occasional,2021-02-23,2024-12-26,3,9.99,46.733333333333334,466.86600000000004,737.3,737.3,1.4446387649258232,674.4527216258595
20,34,F,Germany,standard,tv,0,76.6,5,Thriller,frequent,2020-01-16,2024-12-29,3,14.99,60.3,903.8969999999999,1090.6,1090.6,1.657701121698227,1498.3910707996622
21,63,F,Australia,basic,laptop,0,96.9,3,Crime,frequent,2020-06-05,2024-12-25,2,9.99,55.46666666666667,554.1120000000001,1459.6000000000001,1459.6000000000001,1.8802315764081534,1041.8588792666749
22,56,M,Mexico,basic,tv,0,46.5,5,Horror,occasional,2021-05-16,2024-12-27,2,9.99,44.03333333333333,439.893,592.6,592.6,1.3573754673742613,597.0999664696659
23,26,M,Australia,basic,tv,0,54.7,2,Crime,rare,2020-09-27,2024-12-31,3,9.99,51.86666666666667,518.148,1070.1,1070.1,1.6453383186587867,852.528759136413
24,31,M,Canada,standard,laptop,0,103.1,11,Romance,frequent,2021-04-05,2024-12-25,0,14.99,45.333333333333336,679.5466666666667,732.4,732.4,1.4416837534676155,979.6913890564066
25,24,M,Canada,standard,tv,0,72.5,6,Crime,occasional,2020-06-02,2024-12-30,3,14.99,55.733333333333334,835.4426666666667,885.5,885.5,1.5340127849475333,1281.5797317573272
26,35,M,Japan,premium,laptop,0,134.8,12,Thriller,rare,2020-07-05,2024-12-25,0,19.99,54.46666666666667,1088.7886666666666,2989.4,2989.4,2.8027982149318538,3051.6549313713663
27,31,F,Australia,standard,mobile,0,74.7,6,Romance,occasional,2020-02-08,2024-12-28,3,14.99,59.5,891.905,1085.3,1085.3,1.6545048848148594,1475.661179290797
28,46,M,UK,premium,mobile,0,115.6,8,Crime,rare,2021-01-20,2024-12-25,0,19.99,47.833333333333336,956.1883333333333,2156.3,2156.3,2.3003859606802557,2199.6022177662526
29,38,F,Australia,standard,tv,0,85.3,5,Mystery,occasional,2020-11-22,2024-12-30,2,14.99,49.96666666666667,749.0003333333334,1141.2,1141.2,1.6882161379809433,1264.4744500864392
30,41,F,Italy,premium,tablet,0,142.0,5,Action,rare,2020-02-04,2024-12-27,1,19.99,59.6,1191.404,2500.0,2500.0,2.507658907248824,2987.634852731878
31,36,OTHER,UK,basic,tv,0,44.5,1,Action,frequent,2021-01-30,2024-12-25,3,9.99,47.5,474.52500000000003,709.7,709.7,1.4279942105897963,677.6189527801231
32,61,M,Italy,standard,tablet,1,69.8,2,Mystery,frequent,2020-12-16,2024-10-22,2,14.99,46.86666666666667,702.5313333333334,1385.9,1385.9,1.8357857918224583,1289.6970400434207
33,55,M,Canada,premium,laptop,0,75.2,4,Romance,rare,2021-01-15,2024-12-26,2,19.99,48.03333333333333,960.1863333333332,923.3,923.3,1.5568085876251356,1494.826329453624
34,38,M,Germany,premium,mobile,0,87.1,4,Action,rare,2020-09-09,2024-12-31,2,19.99,52.46666666666667,1048.8086666666666,1512.7,1512.7,1.9122542515981185,2005.588831946287
35,54,F,Canada,basic,tablet,0,72.0,2,Action,frequent,2023-05-17,2024-12-26,2,9.99,19.633333333333333,196.137,651.1,651.1,1.3926546858038837,273.15111210951636
36,34,M,Canada,standard,laptop,1,79.3,11,Horror,frequent,2023-10-08,2024-10-06,0,14.99,12.133333333333333,181.87866666666667,1437.6,1437.6,1.8669641780243635,339.56095541350055
37,39,M,Italy,basic,tablet,1,94.4,4,Action,occasional,2023-04-09,2024-07-10,2,9.99,15.266666666666667,152.514,903.4,903.4,1.544807622723435,235.60478977204198
38,19,M,Brazil,standard,mobile,0,106.7,5,Fantasy,frequent,2020-02-29,2024-12-28,1,14.99,58.8,881.4119999999999,2294.9,2294.9,2.38397057049813,2101.2602684838976
39,28,M,India,standard,tablet,0,70.2,3,Mystery,occasional,2020-04-02,2024-12-26,3,14.99,57.63333333333333,863.9236666666667,654.4,654.4,1.3946447955614523,1204.8666454790337
40,20,M,USA,basic,mobile,0,60.8,3,Action,occasional,2020-12-29,2024-12-25,3,9.99,48.56666666666667,485.18100000000004,1393.0,1393.0,1.8400675431190447,892.7658106380413
41,45,F,Spain,standard,tv,0,65.3,4,Crime,occasional,2020-06-23,2024-12-31,2,14.99,55.06666666666667,825.4493333333334,751.2,751.2,1.4530213484501266,1199.3955033972582
42,26,M,Mexico,premium,tablet,0,84.2,9,Thriller,frequent,2020-11-04,2024-12-31,1,19.99,50.6,1011.4939999999999,1132.1,1132.1,1.6827282595585573,1702.0695381739233
43,32,F,Japan,premium,tv,0,51.7,9,Drama,occasional,2020-01-08,2024-12-25,3,19.99,60.43333333333333,1208.062333333333,1229.9,1229.9,1.7417078760101314,2104.0916806778428
44,29,OTHER,Australia,standard,tablet,0,102.4,4,Action,frequent,2020-10-28,2024-12-26,1,14.99,50.666666666666664,759.4933333333333,1502.4,1502.4,1.9060426969002533,1447.6267213444298
45,24,M,Italy,basic,mobile,0,52.3,2,Thriller,occasional,2020-04-27,2024-12-31,3,9.99,56.96666666666667,569.097,677.4,677.4,1.4085152575081414,801.5818075021108
46,28,F,Spain,premium,tv,0,165.2,7,Drama,occasional,2022-11-09,2024-12-28,1,19.99,26.0,519.74,2574.7,2574.7,2.5527077553974187,1326.7443287902545
47,45,M,Japan,standard,mobile,0,81.8,7,Drama,rare,2021-01-26,2024-12-25,2,14.99,47.63333333333333,714.0236666666667,1035.9,1035.9,1.6247135448076229,1160.0839225465365
48,18,M,USA,standard,laptop,0,118.6,2,Thriller,occasional,2024-12-01,2024-12-27,1,14.99,1.0,14.99,1852.6,1852.6,2.1172355566276684,31.73736099384875
49,40,M,Germany,standard,tablet,0,98.3,3,Documentary,occasional,2021-01-05,2024-12-27,2,14.99,48.4,725.516,1164.9,1164.9,1.702508744421662,1235.1973342178264
50,55,F,Australia,basic,laptop,0,70.3,3,Horror,occasional,2020-04-13,2024-12-30,2,9.99,57.4,573.426,1151.8,1151.8,1.6946086117476782,971.7326378000242
51,36,F,Japan,basic,mobile,0,74.5,1,Action,rare,2020-12-09,2024-12-26,3,9.99,49.266666666666666,492.174,722.0,722.0,1.4354118924134602,706.4724127367024
52,27,M,France,premium,laptop,0,105.1,3,Sci-Fi,occasional,2020-04-13,2024-12-25,1,19.99,57.233333333333334,1144.0943333333332,1295.3999999999999,1295.3999999999999,1.7812085393800505,2037.870596389659
53,45,F,UK,standard,tablet,0,32.0,4,Fantasy,occasional,2020-08-28,2024-12-28,2,14.99,52.766666666666666,790.9723333333334,281.9,281.9,1.1700036183813773,925.440492039561
54,26,M,UK,standard,tv,0,112.6,4,Thriller,occasional,2020-09-02,2024-12-26,1,14.99,52.53333333333333,787.4746666666666,1438.4,1438.4,1.8674466288746834,1470.5669115908815
55,37,M,USA,basic,tablet,0,57.1,3,Documentary,occasional,2020-12-20,2024-12-29,3,9.99,49.0,489.51,724.1,724.1,1.4366783258955493,703.2684073091303
56,30,F,France,premium,tv,0,108.9,12,Drama,occasional,2021-02-17,2024-12-25,0,19.99,46.9,937.531,1338.8,1338.8,1.8073814980098901,1694.4761832107101
57,49,OTHER,Australia,standard,tv,1,100.5,8,Sci-Fi,rare,2022-06-25,2024-11-25,0,14.99,29.466666666666665,441.70533333333333,1840.2,1840.2,2.1097575684477143,931.8911700237205
58,31,F,India,standard,mobile,0,87.6,7,Comedy,frequent,2022-02-28,2024-12-30,1,14.99,34.53333333333333,517.6546666666667,1029.5,1029.5,1.6208539380050657,839.0426049933664
59,60,M,Germany,standard,tablet,0,106.8,6,Crime,occasional,2020-10-25,2024-12-25,2,14.99,50.733333333333334,760.4926666666667,1751.2,1751.2,2.0560849113496564,1563.6374971253972
60,28,M,Spain,premium,laptop,0,129.4,6,Documentary,occasional,2020-04-25,2024-12-27,1,19.99,56.9,1137.4309999999998,2322.8,2322.8,2.4007960439030276,2730.7398450126643
61,37,M,India,premium,tablet,0,97.3,11,Thriller,occasional,2021-05-22,2024-12-29,0,19.99,43.9,877.5609999999999,1858.7,1858.7,2.120914244361356,1861.2316251959958
62,18,M,USA,standard,mobile,1,81.2,4,Crime,rare,2020-09-03,2024-08-16,3,14.99,48.1,721.019,1090.8,1090.8,1.6578217344108068,1195.3209691231455
63,19,F,Japan,premium,mobile,0,113.2,9,Action,occasional,2021-03-06,2024-12-26,1,19.99,46.36666666666667,926.8696666666666,1726.4,1726.4,2.041128934989748,1891.860495597636
64,26,F,Canada,premium,laptop,0,109.2,6,Sci-Fi,frequent,2021-09-26,2024-12-28,1,19.99,39.63333333333333,792.2703333333333,2017.5,2017.5,2.216680738149801,1756.210387307522
65,22,F,Italy,standard,mobile,0,121.9,6,Thriller,frequent,2021-09-17,2024-12-30,1,14.99,40.0,599.6,2204.3,2204.3,2.3293330116994335,1396.6680738149803
66,42,M,Australia,basic,tv,0,56.6,5,Romance,frequent,2020-09-18,2024-12-28,2,9.99,52.06666666666667,520.1460000000001,649.9,649.9,1.3919310095284043,724.0073468821615
67,18,M,India,basic,tv,0,41.6,3,Animation,occasional,2020-02-16,2024-12-28,3,9.99,59.233333333333334,591.741,531.0,531.0,1.3202267518996502,781.2322983958509
68,62,M,Australia,basic,tablet,0,46.7,1,Horror,occasional,2021-01-09,2024-12-30,2,9.99,48.36666666666667,483.183,857.9,857.9,1.5173682306115064,733.1665337715594
69,40,F,France,premium,laptop,0,135.2,9,Crime,rare,2020-10-24,2024-12-29,0,19.99,50.9,1017.4909999999999,1729.2,1729.2,2.0428175129658666,2078.548434085152
70,27,F,Brazil,premium,tv,0,108.4,6,Documentary,occasional,2022-12-08,2024-12-30,1,19.99,25.1,501.74899999999997,1226.5,1226.5,1.739657459896273,872.8713908454951
71,18,F,Mexico,standard,mobile,0,68.2,4,Documentary,occasional,2020-11-29,2024-12-26,3,14.99,49.6,743.504,1137.7,1137.7,1.6861054155107948,1253.6261208539381
72,38,M,India,premium,laptop,1,101.1,2,Drama,occasional,2022-04-25,2024-08-17,2,19.99,28.166666666666668,563.0516666666666,1751.2,1751.2,2.0560849113496564,1157.6820361436096
73,25,M,Spain,premium,mobile,0,145.9,3,Comedy,rare,2021-02-06,2024-12-29,1,19.99,47.4,947.526,2194.9,2194.9,2.3236642142081774,2201.7322582318175
74,20,F,Germany,premium,mobile,1,108.0,6,Comedy,rare,2023-03-23,2024-11-20,1,19.99,20.266666666666666,405.1306666666666,1781.3999999999999,1781.3999999999999,2.0742974309492217,840.3615010654121
75,28,F,France,basic,mobile,1,67.5,3,Drama,rare,2020-04-26,2024-11-03,3,9.99,55.06666666666667,550.1160000000001,1035.5,1035.5,1.624472319382463,893.6482144494032
76,45,F,Australia,standard,tv,1,77.6,9,Action,rare,2023-08-14,2024-11-11,0,14.99,15.166666666666666,227.34833333333333,1140.9,1140.9,1.6880352189120735,383.7719936276284
77,41,M,Spain,premium,tv,0,171.6,9,Action,frequent,2020-02-08,2024-12-29,0,19.99,59.53333333333333,1190.0713333333333,2668.7,2668.7,2.6093957303099744,3105.3670559642983
78,26,M,Brazil,basic,mobile,0,96.0,3,Romance,occasional,2020-05-05,2024-12-29,1,9.99,56.63333333333333,565.767,1219.9,1219.9,1.7356772403811362,981.9889052587145
79,49,F,Brazil,basic,tablet,1,74.8,2,Documentary,occasional,2020-03-04,2024-10-17,2,9.99,56.266666666666666,562.104,1846.1000000000001,1846.1000000000001,2.1133156434688214,1187.9031764563986
80,32,M,UK,standard,laptop,0,90.7,5,Action,frequent,2021-11-27,2024-12-25,1,14.99,37.46666666666667,561.6253333333334,1715.9,1715.9,2.034796767579303,1142.7934128573154
81,51,M,Germany,standard,mobile,0,113.1,9,Animation,frequent,2021-05-08,2024-12-30,0,14.99,44.4,665.556,1577.4,1577.4,1.951272464117718,1298.681096128332
82,55,F,Italy,basic,laptop,0,50.8,3,Crime,occasional,2020-06-08,2024-12-27,2,9.99,55.43333333333333,553.779,977.8000000000001,977.8000000000001,1.5896755518031602,880.3289374020022
83,23,OTHER,Brazil,standard,tv,1,108.8,9,Drama,occasional,2021-04-01,2024-08-27,1,14.99,41.46666666666667,621.5853333333333,1875.1,1875.1,2.1308044867929077,1324.4768171913317
84,30,M,Australia,premium,laptop,0,122.3,9,Horror,rare,2021-03-01,2024-12-30,0,19.99,46.666666666666664,932.8666666666666,1982.1,1982.1,2.195332288023158,2047.9523137538697
85,38,F,Germany,premium,tablet,0,111.3,9,Documentary,frequent,2020-12-12,2024-12-25,0,19.99,49.13333333333333,982.1753333333332,2561.4,2561.4,2.544687010010855,2499.3288122864146
86,18,F,USA,standard,mobile,0,96.4,8,Mystery,occasional,2021-05-05,2024-12-28,1,14.99,44.43333333333333,666.0556666666666,835.6,835.6,1.503919913158847,1001.6943803722912
87,31,M,USA,basic,tablet,1,51.0,3,Romance,rare,2020-02-07,2024-11-20,3,9.99,58.266666666666666,582.084,692.6,692.6,1.4176818236642141,825.2099066457604
88,45,M,Spain,standard,mobile,0,98.7,5,Thriller,occasional,2020-02-23,2024-12-28,2,14.99,59.0,884.41,1354.2,1354.2,1.816668676878543,1606.679944518152
89,32,F,France,premium,tablet,0,126.5,8,Comedy,frequent,2020-04-21,2024-12-25,0,19.99,56.96666666666667,1138.7636666666667,1967.0,1967.0,2.1862260282233748,2489.5947680617537
90,47,F,Brazil,basic,mobile,0,55.0,5,Horror,occasional,2020-06-07,2024-12-26,2,9.99,55.43333333333333,553.779,574.5,574.5,1.3464600168857799,745.6412816909902
91,48,F,India,standard,tablet,0,53.4,2,Action,occasional,2020-04-18,2024-12-28,2,14.99,57.166666666666664,856.9283333333333,647.6,647.6,1.3905439633337353,1191.5965209263054
92,35,F,Japan,standard,tablet,1,130.5,8,Romance,frequent,2021-11-03,2024-07-22,0,14.99,33.06666666666667,495.6693333333334,2018.2,2018.2,2.2171028826438306,1098.9499077714793
93,31,F,Australia,premium,tablet,0,131.8,9,Comedy,frequent,2020-03-13,2024-12-27,0,19.99,58.333333333333336,1166.0833333333333,1121.5,1121.5,1.6763357857918224,1954.7472208820807
94,23,F,France,basic,mobile,0,71.0,2,Crime,occasional,2022-09-26,2024-12-26,3,9.99,27.4,273.726,1048.8,1048.8,1.6324930647690266,446.85579664696655
95,36,F,Germany,standard,mobile,0,103.6,6,Crime,occasional,2020-03-17,2024-12-30,1,14.99,58.3,873.9169999999999,2354.0,2354.0,2.4196116270654926,2114.539734290194
96,37,M,UK,basic,tv,0,44.4,2,Mystery,frequent,2022-03-05,2024-12-31,3,9.99,34.4,343.656,733.3000000000001,733.3000000000001,1.4422265106742251,495.62979375226155
97,19,F,Brazil,standard,laptop,0,108.8,5,Drama,occasional,2020-12-29,2024-12-30,1,14.99,48.733333333333334,730.5126666666667,1881.3,1881.3,2.134543480882885,1559.3110503357054
98,18,M,Japan,standard,mobile,0,104.1,6,Animation,occasional,2020-06-05,2024-12-31,1,14.99,55.666666666666664,834.4433333333333,1904.8999999999999,1904.8999999999999,2.1487757809673136,1793.0316252563016
99,21,M,Germany,standard,laptop,0,108.3,4,Comedy,occasional,2020-06-29,2024-12-25,1,14.99,54.666666666666664,819.4533333333333,2087.8,2087.8,2.259076106621638,1851.2074458247898
100,37,M,Brazil,premium,tv,0,77.6,9,Mystery,occasional,2024-05-09,2024-12-26,0,19.99,7.7,153.923,1218.6,1218.6,1.7348932577493668,267.0399749125558
101,36,F,UK,basic,tv,0,57.0,2,Sci-Fi,rare,2020-05-02,2024-12-27,3,9.99,56.666666666666664,566.1,547.0,547.0,1.3298757689060428,752.8426727777108
102,37,F,Germany,premium,tablet,0,117.1,10,Horror,frequent,2020-11-30,2024-12-28,0,19.99,49.63333333333333,992.1703333333332,1755.0,1755.0,2.0583765528886744,2042.2601506050735
103,22,OTHER,Mexico,premium,tv,0,159.4,7,Horror,frequent,2020-05-30,2024-12-31,1,19.99,55.86666666666667,1116.7746666666667,1807.0,1807.0,2.0897358581594503,2333.764066417401
104,41,M,Australia,standard,tv,1,91.3,2,Horror,occasional,2020-01-01,2024-07-25,2,14.99,55.56666666666667,832.9443333333334,1385.7,1385.7,1.8356651791098781,1529.0069088368914
105,26,OTHER,Japan,basic,tablet,1,58.7,3,Animation,frequent,2020-03-02,2024-08-09,3,9.99,54.03333333333333,539.793,1231.2,1231.2,1.742491858641901,940.5849078518877
106,26,M,Australia,standard,tablet,0,72.5,4,Romance,rare,2022-05-20,2024-12-27,3,14.99,31.733333333333334,475.6826666666667,751.4,751.4,1.4531419611627066,691.2344431311061
107,28,M,Germany,basic,mobile,0,52.2,1,Crime,frequent,2020-03-25,2024-12-27,3,9.99,57.93333333333333,578.754,738.5,738.5,1.4453624412013026,836.5092942950188
108,34,M,Italy,standard,tablet,0,104.5,6,Sci-Fi,rare,2020-03-05,2024-12-30,1,14.99,58.7,879.913,1255.6,1255.6,1.7572066095766492,1546.1889394524183
109,48,M,USA,premium,tv,0,86.4,9,Mystery,frequent,2021-08-30,2024-12-25,0,19.99,40.43333333333333,808.2623333333332,1620.0,1620.0,1.976962971897238,1597.9047045792624
110,37,M,Japan,basic,tv,0,50.9,7,Thriller,frequent,2021-06-19,2024-12-26,3,9.99,42.86666666666667,428.238,655.0,655.0,1.3950066336991918,597.3948508020745
111,25,F,USA,basic,mobile,0,57.1,3,Animation,occasional,2024-01-31,2024-12-29,3,9.99,11.1,110.889,1019.2,1019.2,1.6146423833072006,179.04607924255217
112,27,OTHER,Germany,standard,laptop,1,113.2,7,Mystery,frequent,2020-03-09,2024-11-15,1,14.99,57.06666666666667,855.4293333333334,1381.9,1381.9,1.83337353757086,1568.3215029952157
113,37,F,Canada,standard,tv,0,85.9,6,Sci-Fi,occasional,2022-01-19,2024-12-30,2,14.99,35.86666666666667,537.6413333333334,1125.0,1125.0,1.6784465082619708,902.4022186306437
114,25,F,UK,basic,mobile,0,78.2,2,Thriller,occasional,2021-11-12,2024-12-29,3,9.99,38.1,380.619,1591.5,1591.5,1.9597756603546013,745.9278520685081
115,42,M,France,standard,laptop,1,125.9,8,Animation,occasional,2021-07-26,2024-08-18,0,14.99,37.3,559.127,1986.9,1986.9,2.1982269931250755,1229.088063985044
116,40,F,Brazil,standard,tv,0,119.7,4,Crime,occasional,2022-01-02,2024-12-26,1,14.99,36.3,544.137,2439.4,2439.4,2.4711132553371122,1344.62415341937
117,25,F,Japan,basic,tv,0,18.1,1,Horror,frequent,2020-07-31,2024-12-27,3,9.99,53.666666666666664,536.13,230.8,230.8,1.1391870703172113,610.7523640091665
118,30,M,France,standard,mobile,0,60.5,7,Documentary,frequent,2020-02-13,2024-12-28,3,14.99,59.333333333333336,889.4066666666668,1519.5,1519.5,1.9163550838258352,1704.4189872552568
119,48,F,Australia,standard,tablet,0,73.8,6,Thriller,occasional,2020-02-22,2024-12-31,2,14.99,59.13333333333333,886.4086666666667,867.8000000000001,867.8000000000001,1.5233385598842117,1350.3005017488842
120,49,M,Germany,premium,mobile,0,137.5,11,Sci-Fi,occasional,2020-12-05,2024-12-31,0,19.99,49.56666666666667,990.8376666666667,2317.0,2317.0,2.39729827523821,2375.3334293410526
121,18,M,India,standard,mobile,0,19.8,1,Sci-Fi,frequent,2022-07-26,2024-12-31,3,14.99,29.633333333333333,444.20366666666666,240.8,240.8,1.1452177059462068,508.7099041128935
122,31,F,Brazil,premium,tv,1,90.0,7,Mystery,occasional,2020-01-19,2024-07-20,1,19.99,54.8,1095.4519999999998,1130.8,1130.8,1.681944276926788,1842.4892220480035
123,18,M,UK,standard,tablet,0,112.1,7,Documentary,occasional,2020-11-24,2024-12-30,1,14.99,49.9,748.001,1353.1,1353.1,1.8160053069593536,1358.3737856109035
124,38,OTHER,Brazil,basic,mobile,0,57.4,3,Crime,frequent,2020-02-07,2024-12-31,3,9.99,59.63333333333333,595.737,954.6,954.6,1.575684477143891,938.69354336027
125,39,M,Germany,premium,tablet,0,174.3,7,Romance,rare,2023-03-11,2024-12-30,0,19.99,22.0,439.78,2832.3,2832.3,2.708056929200338,1190.9492763237247
126,34,M,India,basic,tv,0,89.1,2,Thriller,rare,2020-10-20,2024-12-27,3,9.99,50.96666666666667,509.15700000000004,1287.5,1287.5,1.7764443372331442,904.4890694126161
127,53,F,UK,basic,tablet,0,67.6,3,Documentary,occasional,2020-05-12,2024-12-29,2,9.99,56.4,563.436,1107.1,1107.1,1.667651670486069,939.6149866119889
128,18,F,Australia,basic,tv,0,64.0,3,Animation,rare,2020-07-20,2024-12-30,3,9.99,54.13333333333333,540.792,1252.2,1252.2,1.755156193462791,949.1744281751297
129,31,OTHER,USA,standard,tv,0,102.1,6,Documentary,rare,2022-06-16,2024-12-29,1,14.99,30.9,463.191,1664.6,1664.6,2.003859606802557,928.1697351344831
130,22,F,UK,basic,laptop,1,59.2,1,Fantasy,rare,2020-03-11,2024-11-07,3,9.99,56.733333333333334,566.7660000000001,964.6,964.6,1.5817151127728861,896.4623476058377
131,28,OTHER,Italy,premium,mobile,0,82.3,10,Comedy,frequent,2020-02-16,2024-12-31,0,19.99,59.333333333333336,1186.0733333333333,1207.9,1207.9,1.728440477626342,2050.057158766534
132,30,M,Mexico,standard,tablet,0,66.9,6,Horror,frequent,2021-06-19,2024-12-26,3,14.99,42.86666666666667,642.5713333333333,862.4,862.4,1.5200820166445543,976.7611282113135
133,30,F,France,basic,tv,0,70.5,2,Crime,occasional,2020-10-14,2024-12-25,3,9.99,51.1,510.48900000000003,1128.5,1128.5,1.680557230732119,857.9059801592088
134,32,F,Italy,standard,tv,1,97.5,4,Action,occasional,2022-04-09,2024-09-02,1,14.99,29.233333333333334,438.2076666666667,1827.6,1827.6,2.10215896755518,921.1821761347645
135,33,M,Japan,standard,laptop,0,125.3,6,Sci-Fi,rare,2020-02-24,2024-12-26,1,14.99,58.9,882.911,2615.5,2615.5,2.5773127487637195,2275.5377763237243
136,42,M,Germany,basic,tv,1,52.3,2,Action,frequent,2020-04-20,2024-08-04,2,9.99,52.233333333333334,521.811,836.6,836.6,1.5045229767217465,785.0766390061514
137,42,M,Italy,premium,mobile,1,165.8,7,Horror,rare,2022-06-10,2024-11-16,0,19.99,29.666666666666668,593.0366666666666,3456.1,3456.1,3.0842479797370643,1829.0721410766694
138,23,M,Brazil,standard,mobile,1,96.0,7,Documentary,occasional,2023-06-01,2024-09-06,1,14.99,15.433333333333334,231.3456666666667,2351.9,2351.9,2.418345193583404,559.4736810396817
139,54,M,France,basic,tv,0,74.8,3,Mystery,occasional,2020-09-24,2024-12-30,2,9.99,51.93333333333333,518.814,1331.8,1331.8,1.8031600530695935,935.504679773248
140,36,F,Canada,basic,laptop,0,50.6,4,Action,rare,2021-01-24,2024-12-27,3,9.99,47.766666666666666,477.189,907.8,907.8,1.547461102400193,738.4314159932458
141,29,M,India,standard,tablet,0,109.4,5,Fantasy,occasional,2020-01-19,2024-12-27,1,14.99,60.13333333333333,901.3986666666667,1596.1,1596.1,1.9625497527439393,1769.0397303903833
142,34,F,USA,standard,mobile,0,75.2,6,Documentary,occasional,2022-08-10,2024-12-28,3,14.99,29.033333333333335,435.2096666666667,1017.5,1017.5,1.6136171752502713,702.2617929682789
143,30,F,USA,standard,tablet,0,104.4,1,Drama,occasional,2020-12-28,2024-12-31,1,14.99,48.8,731.512,2081.7,2081.7,2.2553974188879504,1649.8502766855622
144,37,F,UK,premium,mobile,0,133.3,7,Comedy,occasional,2020-02-29,2024-12-25,0,19.99,58.7,1173.413,2785.5,2785.5,2.6798335544566396,3144.5515306356288
145,33,F,Mexico,premium,mobile,0,63.5,8,Animation,occasional,2021-06-06,2024-12-28,3,19.99,43.36666666666667,866.8996666666666,507.5,507.5,1.3060547581715114,1132.2184345072972
146,52,M,Spain,standard,tablet,0,101.4,3,Animation,occasional,2020-01-12,2024-12-25,2,14.99,60.3,903.8969999999999,1321.7,1321.7,1.7970691110843084,1624.365378301773
147,33,F,UK,standard,tv,0,100.8,6,Fantasy,rare,2020-07-29,2024-12-26,1,14.99,53.7,804.9630000000001,1762.6,1762.6,2.0629598359667107,1660.6063384392714
148,21,M,Germany,premium,tablet,0,122.9,9,Drama,occasional,2020-01-10,2024-12-25,1,19.99,60.36666666666667,1206.7296666666666,1465.6,1465.6,1.8838499577855505,2273.2976316085715
